bucket,sex,race,overall,position,letter,count
55-64,f,UNKRACE,0,1,X,3533
55-64,f,UNKRACE,0,1,H,281
55-64,f,UNKRACE,0,1,F,1903
55-64,f,UNKRACE,0,2,N,216579
55-64,f,UNKRACE,0,2,H,2152
55-64,f,UNKRACE,0,2,E,75957
55-64,f,UNKRACE,0,2,A,6301
55-64,f,UNKRACE,0,2,R,112318
55-64,f,UNKRACE,0,2,X,5613
55-64,f,UNKRACE,0,2,B,156156
55-64,f,UNKRACE,0,2,D,45962
55-64,f,UNKRACE,0,2,U,10026
55-64,f,UNKRACE,0,2,C,38757
55-64,f,UNKRACE,0,2,P,2779
55-64,f,UNKRACE,0,2,S,7374
55-64,f,UNKRACE,0,2,T,12959
55-64,f,UNKRACE,0,2,F,2275
55-64,f,UNKRACE,0,3,C,16626
55-64,f,UNKRACE,0,3,E,45767
55-64,f,UNKRACE,0,3,N,89028
55-64,f,UNKRACE,0,3,U,5631
55-64,f,UNKRACE,0,3,B,69834
55-64,f,UNKRACE,0,3,T,10438
55-64,f,UNKRACE,0,3,X,2297
55-64,f,UNKRACE,0,3,R,45025
55-64,f,UNKRACE,0,3,A,3998
55-64,f,UNKRACE,0,3,D,17023
55-64,f,UNKRACE,0,3,S,1503
55-64,f,UNKRACE,0,3,F,1014
55-64,f,UNKRACE,0,3,H,270
55-64,f,UNKRACE,0,3,P,1477
55-64,f,UNKRACE,0,4,T,3047
55-64,f,UNKRACE,0,4,N,22947
55-64,f,UNKRACE,0,4,E,17803
55-64,f,UNKRACE,0,4,C,5086
55-64,f,UNKRACE,0,4,R,12059
55-64,f,UNKRACE,0,4,B,17252
55-64,f,UNKRACE,0,4,X,944
55-64,f,UNKRACE,0,4,D,6419
55-64,f,UNKRACE,0,4,A,1888
55-64,f,UNKRACE,0,4,U,2728
55-64,f,UNKRACE,0,4,F,719
55-64,f,UNKRACE,0,4,P,702
55-64,f,UNKRACE,0,4,S,604
55-64,f,UNKRACE,0,4,H,21
55-64,f,UNKRACE,0,5,R,2195
55-64,f,UNKRACE,0,5,B,3178
55-64,f,UNKRACE,0,5,T,682
55-64,f,UNKRACE,0,5,C,938
55-64,f,UNKRACE,0,5,E,3775
55-64,f,UNKRACE,0,5,N,3806
55-64,f,UNKRACE,0,5,D,1809
55-64,f,UNKRACE,0,5,U,1428
55-64,f,UNKRACE,0,5,A,530
55-64,f,UNKRACE,0,5,X,450
55-64,f,UNKRACE,0,5,F,381
55-64,f,UNKRACE,0,5,P,248
55-64,f,UNKRACE,0,5,S,222
55-64,f,UNKRACE,0,5,H,11
55-64,f,UNKRACE,0,6,D,316
55-64,f,UNKRACE,0,6,X,146
55-64,f,UNKRACE,0,6,E,692
55-64,f,UNKRACE,0,6,U,468
55-64,f,UNKRACE,0,6,P,64
55-64,f,UNKRACE,0,6,C,172
55-64,f,UNKRACE,0,6,B,487
55-64,f,UNKRACE,0,6,R,332
55-64,f,UNKRACE,0,6,T,115
55-64,f,UNKRACE,0,6,N,536
55-64,f,UNKRACE,0,6,A,101
55-64,f,UNKRACE,0,6,F,105
55-64,f,UNKRACE,0,6,S,53
55-64,f,UNKRACE,0,6,H,3
55-64,f,UNKRACE,0,7,C,23
55-64,f,UNKRACE,0,7,U,94
55-64,f,UNKRACE,0,7,B,61
55-64,f,UNKRACE,0,7,R,47
55-64,f,UNKRACE,0,7,F,32
55-64,f,UNKRACE,0,7,N,72
55-64,f,UNKRACE,0,7,D,45
55-64,f,UNKRACE,0,7,E,91
55-64,f,UNKRACE,0,7,S,9
55-64,f,UNKRACE,0,7,X,25
55-64,f,UNKRACE,0,7,A,18
55-64,f,UNKRACE,0,7,T,9
55-64,f,UNKRACE,0,7,P,15
55-64,f,UNKRACE,0,8,X,4
55-64,f,UNKRACE,0,8,F,7
