scheme,bucket,sex,race,letter,weight
1,UNDER65,m,UNKRACE,T,334314.0
1,UNDER65,m,UNKRACE,N,517893.0
1,UNDER65,m,UNKRACE,A,121590.0
1,UNDER65,m,UNKRACE,S,344274.0
1,UNDER65,m,UNKRACE,R,217745.0
1,UNDER65,m,UNKRACE,U,45536.0
1,UNDER65,m,UNKRACE,D,153821.0
1,UNDER65,m,UNKRACE,X,29206.0
1,UNDER65,m,UNKRACE,P,209917.0
1,UNDER65,m,UNKRACE,F,8970.0
1,UNDER65,m,UNKRACE,H,10731.0
2,35-44,m,UNKRACE,C,46513.35952380883
2,35-44,m,UNKRACE,E,19861.39226190481
2,35-44,m,UNKRACE,N,78293.9333333358
2,35-44,m,UNKRACE,B,99116.43452382332
2,35-44,m,UNKRACE,S,49105.899404760756
2,35-44,m,UNKRACE,X,7868.214285714668
2,35-44,m,UNKRACE,A,19081.488690475773
2,35-44,m,UNKRACE,P,46679.019047617716
2,35-44,m,UNKRACE,U,8944.958333333783
2,35-44,m,UNKRACE,T,62018.93452380407
2,35-44,m,UNKRACE,D,19881.676785714284
2,35-44,m,UNKRACE,H,8754.822619047663
2,35-44,m,UNKRACE,R,21485.52142857217
2,35-44,m,UNKRACE,F,1889.3452380952535
2,ALL,m,UNKRACE,C,2213090.331550973
2,ALL,m,UNKRACE,S,347734.95257941785
2,ALL,m,UNKRACE,T,427223.2281749074
2,ALL,m,UNKRACE,N,2594383.0545621673
2,ALL,m,UNKRACE,R,1350335.099804278
2,ALL,m,UNKRACE,B,3698273.2212060657
2,ALL,m,UNKRACE,E,589411.4670640393
2,ALL,m,UNKRACE,D,384999.1936512465
2,ALL,m,UNKRACE,H,55036.20535714082
2,ALL,m,UNKRACE,A,142178.15376991703
2,ALL,m,UNKRACE,U,77536.13452380456
2,ALL,m,UNKRACE,X,84630.88888890983
2,ALL,m,UNKRACE,P,188481.99603173064
2,ALL,m,UNKRACE,F,48611.072817445434
2,UNDER65,m,UNKRACE,C,687891.8031744468
2,UNDER65,m,UNKRACE,E,187972.22023798092
2,UNDER65,m,UNKRACE,N,648638.6432536261
2,UNDER65,m,UNKRACE,B,970015.703371047
2,UNDER65,m,UNKRACE,T,340008.5628968544
2,UNDER65,m,UNKRACE,H,52201.34226190324
2,UNDER65,m,UNKRACE,A,114542.72242071819
2,UNDER65,m,UNKRACE,S,257613.88293647234
2,UNDER65,m,UNKRACE,R,259964.79940442284
2,UNDER65,m,UNKRACE,U,44795.306547607055
2,UNDER65,m,UNKRACE,D,178610.12797613398
2,UNDER65,m,UNKRACE,X,47145.972023800015
2,UNDER65,m,UNKRACE,P,182734.40912697313
2,UNDER65,m,UNKRACE,F,12860.504365078885
3,35-44,m,UNKRACE,C,45479.57380952646
3,35-44,m,UNKRACE,E,20350.977777778073
3,35-44,m,UNKRACE,N,79265.63531744642
3,35-44,m,UNKRACE,B,99635.3186507453
3,35-44,m,UNKRACE,S,47275.86587302217
3,35-44,m,UNKRACE,X,7948.006746030972
3,35-44,m,UNKRACE,A,19159.343253970008
3,35-44,m,UNKRACE,P,45377.22817460668
3,35-44,m,UNKRACE,U,9038.961507935826
3,35-44,m,UNKRACE,T,62202.46865080871
3,35-44,m,UNKRACE,D,20395.79087301631
3,35-44,m,UNKRACE,H,9215.044047618574
3,35-44,m,UNKRACE,R,22271.537698410793
3,35-44,m,UNKRACE,F,1879.2476190476034
3,ALL,m,UNKRACE,C,2142919.963471955
3,ALL,m,UNKRACE,S,333213.3166667226
3,ALL,m,UNKRACE,T,432636.76984084304
3,ALL,m,UNKRACE,N,2642340.54882364
3,ALL,m,UNKRACE,R,1364066.2995927706
3,ALL,m,UNKRACE,B,3677564.200496351
3,ALL,m,UNKRACE,E,623523.2563487934
3,ALL,m,UNKRACE,D,388773.5285707736
3,ALL,m,UNKRACE,H,58198.776587352135
3,ALL,m,UNKRACE,A,139297.1948410805
3,ALL,m,UNKRACE,U,84789.75595227533
3,ALL,m,UNKRACE,X,83728.81349199216
3,ALL,m,UNKRACE,P,183196.34801597925
3,ALL,m,UNKRACE,F,47676.227380955075
3,UNDER65,m,UNKRACE,C,667892.7952384612
3,UNDER65,m,UNKRACE,E,194736.22341313443
3,UNDER65,m,UNKRACE,N,663158.4952389736
3,UNDER65,m,UNKRACE,B,968908.8091319852
3,UNDER65,m,UNKRACE,T,342358.25753962697
3,UNDER65,m,UNKRACE,H,55264.018254012975
3,UNDER65,m,UNKRACE,A,112671.68531726405
3,UNDER65,m,UNKRACE,S,246669.56746072962
3,UNDER65,m,UNKRACE,R,267210.4742073233
3,UNDER65,m,UNKRACE,U,46279.81309524638
